Matrix Size, Serial Time, Parallel (8 Threads)
500, 14, 0.000893, 0.000075
1000, 14, 0.002649, 0.000373
2000, 14, 0.011005, 0.003691
3000, 14, 0.023438, 0.009102
4000, 14, 0.041503, 0.016574
6000, 14, 0.093279, 0.037947
7000, 14, 0.127370, 0.053736
8000, 14, 0.166104, 0.070603
9000, 14, 0.211515, 0.089451
10000, 14, 0.259646, 0.107785
100, 15, 0.000019, 0.002016
500, 15, 0.000986, 0.000081
1000, 15, 0.002732, 0.000370
2000, 15, 0.011309, 0.014110
3000, 15, 0.023526, 0.009279
4000, 15, 0.041866, 0.016936
6000, 15, 0.093957, 0.038813
7000, 15, 0.127608, 0.052882
8000, 15, 0.166627, 0.072473
9000, 15, 0.211166, 0.091299
10000, 15, 0.260786, 0.113191
